Unnamed: 0,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,company_name,car_names
3066,4775000.0,13000,Diesel,Automatic,2nd Owner,2014,814,5,Mercedes-Benz,S-Class S 350 d
3067,,70000,Petrol,Manual,3rd Owner,2004,1582,5,Maruti,Alto LXI
3068,,60000,Petrol,Automatic,4th Owner,2004,1197,4,Hyundai,Santro Xing XG AT eRLX Euro III
3069,450000.0,110000,Diesel,Manual,3rd Owner,2015,2993,5,Renault,Lodgy 110PS RxZ 7 Seater
3070,11700000.0,15000,Diesel,Automatic,2nd Owner,2020,1197,7,Mercedes-Benz,GLS 400d 4MATIC
3071,175000.0,30000,Petrol,Manual,1st Owner,2013,796,5,Hyundai,EON D Lite
3072,700000.0,115000,Diesel,Manual,2nd Owner,2015,796,7,Hyundai,Verna 1.6 CRDi SX
3073,650000.0,15000,Petrol,Manual,1st Owner,2019,2967,5,Maruti,Baleno Delta
3074,8300000.0,25000,Diesel,Automatic,1st Owner,2020,1396,7,BMW,X5 xDrive 30d xLine
3075,500000.0,80000,Petrol,Automatic,1st Owner,2018,2523,5,Maruti,Ignis 1.2 AMT Zeta BSIV
3076,,29000,Petrol,Manual,1st Owner,2002,1197,7,Maruti,800 Std BSII
3077,300000.0,70000,Petrol,Manual,1st Owner,2019,2987,5,Maruti,Alto 800 VXI
3078,4600000.0,65000,Diesel,Automatic,1st Owner,2017,999,7,Audi,Q7 45 TDI Quattro Technology
3079,200000.0,110000,Diesel,Manual,4th Owner,2009,2523,5,Hyundai,i20 1.4 Asta CRDi with AVN
3080,340000.0,100000,Diesel,Manual,4th Owner,2012,1995,5,Mahindra,Bolero SLX
3081,550000.0,60000,Petrol,Manual,1st Owner,2018,2494,5,Maruti,Baleno 1.2 Alpha
3082,5950000.0,45000,Diesel,Automatic,2nd Owner,2016,1248,5,Mercedes-Benz,GLS 350d Grand Edition
3083,1300000.0,5000,Petrol,Manual,1st Owner,2022,1396,5,Volkswagen,Taigun 1.0 TSI Topline
3084,470000.0,60000,Diesel,Manual,2nd Owner,2014,2143,5,Mahindra,Bolero ZLX
3085,4800000.0,29000,Diesel,Automatic,1st Owner,2019,1396,5,BMW,5 Series 520d Luxury Line
3086,425000.0,200000,Diesel,Manual,2nd Owner,2012,1405,5,Toyota,Innova 2.5 E 7 STR
3087,350000.0,110000,Diesel,Manual,1st Owner,2015,1498,5,Maruti,Swift VDI BSIV
3088,240000.0,120000,Diesel,Manual,1st Owner,2015,1950,5,Tata,Indigo LX BSIV
3089,5600000.0,45000,Diesel,Automatic,1st Owner,2019,2925,5,Mercedes-Benz,GLE 250d
3090,115000.0,25000,Petrol,Manual,1st Owner,2009,1968,7,Tata,Indigo GLX
3091,,80000,Diesel,Manual,2nd Owner,2006,998,5,Tata,Indigo LX
3092,650000.0,70000,Diesel,Manual,1st Owner,2018,2995,5,Ford,Ecosport 1.5 Diesel Titanium BSIV
3093,4790000.0,11000,Petrol,Automatic,1st Owner,2021,1493,5,Mercedes-Benz,C-Class Progressive C 200
3094,10400000.0,12000,Diesel,Automatic,1st Owner,2021,1598,5,Mercedes-Benz,GLE 400d
3095,2490000.0,40000,Diesel,Automatic,2nd Owner,2016,998,5,Audi,A6 35 TDI
3096,521000.0,7500,Petrol,Manual,1st Owner,2021,1998,5,Maruti,Wagon R VXI
3097,19200000.0,40000,Petrol,Automatic,1st Owner,2019,796,5,Land,Rover Range Rover 3.0 Petrol LWB Vogue BSIV
3098,600000.0,50000,Diesel,Manual,1st Owner,2018,1248,7,Mahindra,Bolero Power Plus SLX
3099,250000.0,80000,Diesel,Manual,2nd Owner,2010,1998,5,Volkswagen,Vento Diesel Highline
3100,346000.0,40000,Petrol,Manual,1st Owner,2017,1995,5,Maruti,Celerio VXI
3101,6850000.0,7000,Petrol,Automatic,1st Owner,2022,1493,5,Volvo,XC60 B5 Inscripition
3102,,60000,Lpg,Manual,3rd Owner,2010,1799,7,Maruti,800 DUO AC LPG
